name,code
spirits,2208904215
spirits,2208301101
spirits,2208909740
spirits,2208900800
spirits,2208907825
spirits,2208906235
spirits,2208905830
spirits,2208300819
spirits,2208905839
spirits,2208703000
spirits,2208907830
spirits,2208906220
spirits,2208907815
spirits,2208907215
spirits,2208602909
spirits,2208900200
spirits,2208908525
spirits,2208905300
spirits,2208905810
spirits,2208909765
biscuits,1905300011
biscuits,1905300019
biscuits,1905300029
biscuits,1905300031
biscuits,1905300039
biscuits,1905300049
biscuits,1905310021
biscuits,1905310023
biscuits,1905310029
biscuits,1905310031
biscuits,1905310033
biscuits,1905310039
biscuits,1905900901
cider_alcoholic,2206000201
cider_alcoholic,2206000209
cider_alcoholic,2206000219
cider_alcoholic,2206000801
cider_alcoholic,2206000809
cider_alcoholic,2206000819
cider_alcoholic,2206001219
cider_alcoholic,2206001701
cider_alcoholic,2206001709
cider_alcoholic,2206001719
cider_alcoholic,2206002800
cider_alcoholic,2206003201
cider_alcoholic,2206003209
cider_alcoholic,2206003301
cider_alcoholic,2206003701
cider_alcoholic,2206003709
cider_alcoholic,2206004309
cider_alcoholic,2206004701
cider_alcoholic,2206004709
cider_alcoholic,2206005301
cider_alcoholic,2206005309
cider_alcoholic,2206005701
cider_alcoholic,2206005709
cider_alcoholic,2206006209
cider_alcoholic,2206006801
cider_alcoholic,2206006809
cider_alcoholic,2206007109
cider_alcoholic,2206007809
cider_alcoholic,2206007909
cider_alcoholic,2206008900
water_unsweetened,2201100900
water_unsweetened,2201900900
water_unsweetened,2201900119
water_unsweetened,2201100100
shelled_beans,2005510001
shelled_beans,2005510009
peas,0710210001
peas,0710210009
peas,0713100809
peas,0713100811
peas,0713100819
peas,0713100100
peas,0713100801
honey,0409000001
honey,0409000009
honey,0409000011
honey,0409000018
honey,0409000015
bovine_meat,1602500100
bovine_meat,1602500901
bovine_meat,1602500919
bovine_meat,1602501900
bovine_meat,1602500909
chocolate,1806310001
chocolate,1806310011
chocolate,1806310029
chocolate,1806320001
chocolate,1806320011
chocolate,1806320029
chocolate,1806900001
chocolate,1806900011
chocolate,1806900019
chocolate,1806900029
chocolate,1806320019
chocolate,1806310019
beer,2203001209
beer,2203002202
beer,2203002208
beer,2203003102
beer,2203003108
beer,2203003902
beer,2203003908
beer,2203000201
beer,2203000209
beer,2203001201
fruit_juice,2009800101
fruit_juice,2009800111
fruit_juice,2009800119
fruit_juice,2009801100
fruit_juice,2009801901
fruit_juice,2009801909
fruit_juice,2009801910
fruit_juice,2009801919
fruit_juice,2009801925
fruit_juice,2009801929
fruit_juice,2009802101
fruit_juice,2009802112
fruit_juice,2009802119
fruit_juice,2009803100
fruit_juice,2009803900
fruit_juice,2009803929
fruit_juice,2009804900
fruit_juice,2009803910
fruit_juice,2009891010
fruit_juice,2009811000
fruit_juice,2009891019
fruit_juice,2009892010
fruit_juice,2009892015
fruit_juice,2009892025
fruit_juice,2009812000
fruit_juice,2009892039
fruit_juice,2009893010
fruit_juice,2009819010
fruit_juice,2009893019
fruit_juice,2009894000
fruit_juice,2009893021
fruit_juice,2009819019
fruit_juice,2009893039
fruit_juice,2009899000
fruit_juice,2009891015
fruit_juice,2009892029
fruit_juice,2009893025
fruit_juice,2009803919
fruit_juice,2009893035
fruit_juice,2009893029
fruit_juice,2009803915
cane_beet_sugar,1701990001
cane_beet_sugar,1701990009
cane_beet_sugar,1701990011
cane_beet_sugar,1701990021
cane_beet_sugar,1701990029
cane_beet_sugar,1701990032
cane_beet_sugar,1701990041
cane_beet_sugar,1701990049
cane_beet_sugar,1701990038
prepared_fish,1604190929
prepared_fish,1604191910
prepared_fish,1604200909
prepared_fish,1604200911
prepared_fish,1604200919
prepared_fish,1604200929
prepared_fish,1604203900
prepared_fish,1604200901
prepared_fish,1604202919
prepared_fish,1604190919
prepared_fish,1604201109
prepared_fish,1604191900
prepared_fish,1604202911
prepared_fish,1604201101
prepared_fish,1604200100
prepared_fish,1604201900
prepared_fish,1604190909
berries,0810400001
berries,0810900010
berries,0810900050
berries,0810900055
berries,0810900091
berries,0811200100
berries,0811200901
berries,0811200921
berries,0811200929
berries,0811200939
berries,0810900020
berries,0810400009
berries,0810900040
berries,0810900001
berries,0810900051
berries,0810900059
berries,0811200911
berries,0810900031
berries,0810900041
berries,0810900021
berries,0810900009
berries,0810900090
berries,0810900060
berries,0810900070
berries,0810900030
berries,0810900089
pet_food,2301100009
pet_food,2301100019
pet_food,2301200001
pet_food,2301200009
pet_food,2309100101
pet_food,2309100109
pet_food,2309100911
pet_food,2309100921
pet_food,2309100929
pet_food,2309100931
pet_food,2309100941
pet_food,2309100949
pet_food,2309101911
pet_food,2309101921
pet_food,2309101929
pet_food,2309101931
pet_food,2309101941
pet_food,2309101949
pet_food,2301100021
pet_food,2301100001
